Column1,year,player_api_id,player_name,birthday,height,weight,overall_rating,crossing,finishing,heading_accuracy,short_passing,dribbling,volleys,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,balance,jumping,stamina,aggression,interceptions,positioning,marking,penalties,gk_reflexes,image
446,2016,30859,Petr Cech,15-Oct-88,182.88,168,86,19,12,19,35,12,17,19,33,22,45,52,34,51,32,17,23,13,11,23,85,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/23101480_1739039156392328_5658379298038349824_n.jpg
448,2016,30894,Philipp Lahm,7-Sep-84,185.42,168,87,84,47,63,86.66666667,82,66,59,79,86.33333333,73.66666667,71,93,72,80.66666667,58,93,69,86.33333333,71,5,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/18013746_293357661072838_8382215134453432320_n.jpg
465,2016,93447,Robert Lewandowski,5-Feb-92,175.26,150,87.5,62,89,83,82,84.5,83,68,65,87,79,81,78,83,79,80,39,87.5,25,77,10,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/23824565_839199112919988_9039824530696044544_n.jpg
457,2016,37436,Santi Cazorla,15-Mar-93,190.5,185,85,85,77,58,86,86,72,78,84,87,77,66,91,71,72,64,55,82,56,80,15,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e15/10946262_958959527448761_214272854_n.jpg
456,2016,37412,Sergio Aguero,20-May-82,195.58,198,88,70,90,68,79,89,85,72,63,89,92,86,90,77.33333333,74,57,24,91,13,83,14,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/24126307_131304750868765_5098646867827228672_n.jpg
470,2016,154257,Sergio Busquets,11-Nov-83,170.18,146,86,62,60,70,89,74,44,68,79,82,54,48,55,66,88,86,87,77,83,60,13,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/22157629_370141536741126_3120071089439375360_n.jpg
450,2016,30962,Sergio Ramos,21-Aug-88,185.42,174,87,74,60,86,76,57,66,68,70,83,78,79,60,91,86,83,88,52,85,68,11,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/24126888_308175336353172_5417575076050501632_n.jpg
468,2016,116772,Thomas Mueller,13-Dec-84,167.64,146,86,79,89,82,83,78,83,59,77,81,76,78,73,81,90,57,58,94,32,87.33333333,14,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/23164042_127359998032284_4241323695638839296_n.jpg
466,2016,95078,Toni Kroos,2-Jun-88,172.72,163,87,85,76,54,89,83,82,83,90,86,59,52,62,54,76,54,76,76,60,73,10,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/23508005_166173390641527_3461220122717323264_n.jpg
444,2016,30829,Wayne Rooney,16-Jul-88,187.96,168,85,78,85,80,80,79,86,84,85,83,72,74,77,81,87,89,54,87,29,81,7,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/20969012_1849481522035276_5433196559300820992_n.jpg
455,2016,36615,Yaya Toure,30-Mar-86,182.88,165,85,67,82,74,86,81,68,85,83,83,69,79,55,65,86,78,66,81,63,85,8,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e15/11142334_1427371164231247_1407420575_n.jpg
391,2015,26166,Karim Benzema,22-Sep-84,182.88,174,85.8,75,88,78,85.6,82,77,73,47,86,82.2,84,62.2,70.2,75,65,22,87,15.4,82,7,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/22793894_1941425146121934_8523339208520105984_n.jpg
404,2015,30981,Lionel Messi,11-May-92,198.12,194,93.42857143,82.28571429,93.57142857,71,88.57142857,96,85,90,77.28571429,96,95.57142857,90,95,70.85714286,76.28571429,48,22,91.14285714,19.85714286,74.57142857,8,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/22860219_1092919944144341_5551542987277729792_n.jpg
418,2015,40636,Luis Suarez,13-Sep-89,185.42,165,89.28571429,77,90.71428571,75.57142857,82,89.42857143,85.57142857,84,64,89.57142857,88,78.71428571,60,69,86.28571429,78,41,88.85714286,30,85,37,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/17493572_187033018471396_5151231333548163072_n.jpg
405,2015,31097,Luka Modric,4-Jan-90,182.88,172,87,78,71,55,86.66666667,86,75,77.66666667,84,92,78,74,94,67,86.33333333,62,73,79,69,80,9,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/23823449_148328985797788_7510868627755630592_n.jpg
424,2015,80562,Thiago Silva,24-Oct-85,175.26,183,87,60,38,81.75,77,68,63,73,81,79,74.25,79,68,90.75,78.5,75.5,91,59,88.25,71,10,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/21819853_920666661414709_3602359508342407168_n.jpg
433,2015,170323,Thibaut Courtois,25-Jan-80,170.18,148,86,14,14,13,32,13,12,11,31,23,46,52,45,68,38,23,15,13,11,27,88,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/21909505_489585061400774_5555109824473071616_n.jpg
417,2015,39854,Xavi Hernandez,13-May-83,187.96,198,86,85,74,51,93,80,66,87,90,93,67,65,90,53,60,53,71,83,55,75,9,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/21909439_1726872134285538_5085329952358793216_n.jpg
407,2015,35724,Zlatan Ibrahimovic,3-Oct-81,195.58,209,89,76,90,76,84,87,92,80,76,90,73,75.5,41,72,76.5,84,20,86,20,11,12,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/16464245_474655116204405_6459062271183159296_n.jpg
